company_id,company_name,country_code,reported_production_mt,reported_scope12_emissions_mtco2,scenario_id,portfolio_origin_scenario_id,portfolio_id,candidate_id,template_plan_id,physical_portfolio_id,common_avoided_emissions_mtco2,deterministic_economic_npv_bn_krw,deterministic_cost_common_kkrw_per_tco2,carbon_budget_feasible,scenario_feasible,first_budget_breach_year,max_annual_budget_excess_mtco2,minimum_annual_budget_margin_mtco2,physical_constraints_feasible,resource_constraints_feasible,construction_concurrency_feasible,failure_risk_constraint_feasible,first_resource_breach_year,max_scrap_supply_excess_mt,max_hydrogen_supply_excess_mt,max_incremental_grid_excess_twh,max_concurrent_construction_projects,concurrent_construction_limit,portfolio_failure_probability,portfolio_failure_probability_limit,expected_failure_delay_years,plan_id,plan_name,is_disclosed_plan,aligned_capex_bn_krw,peak_capex_year,peak_capex_bn_krw,expected_cost_p50_kkrw_per_tco2,expected_cost_p50_bn_krw,absolute_npv_p50_bn_krw,absolute_npv_p90_bn_krw,scenario_avoided_emissions_mtco2,net_economic_cost_p50_kkrw_per_tco2_common_denominator,net_cash_cost_after_support_p50_kkrw_per_tco2_common_denominator,cash_cost_before_support_p50_bn_krw,net_cash_cost_after_support_p50_bn_krw,net_cash_cost_after_support_p90_bn_krw,avoided_carbon_cost_value_p50_bn_krw,policy_support_value_p50_bn_krw,cash_policy_p50_nonadditivity_bn_krw,economic_cost_p50_identity_delta_bn_krw,p90_cost_kkrw_per_tco2,tcar_kkrw_per_tco2,gross_cost_p50_kkrw_per_tco2,policy_support_dependence_kkrw_per_tco2,electricity_variance_share,hydrogen_variance_share,capex_variance_share,policy_uncertainty_exposure_kkrw_per_tco2,flexibility_value_kkrw_per_tco2,avoided_emissions_mtco2,p90_net_cost_bn_krw,p90_cost_to_ebitda_x,p90_cost_to_annual_capex_x,capex_cost_p50_bn_krw,fixed_opex_cost_p50_bn_krw,electricity_cost_p50_bn_krw,hydrogen_cost_p50_bn_krw,contract_premium_p50_bn_krw,carbon_value_p50_bn_krw,policy_support_p50_bn_krw,component_reconciliation_p50_bn_krw,candidate_path_count,is_generated_candidate,scenario_regret_p50_kkrw_per_tco2
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,DISCLOSED_PATH,DISCLOSED_PATH,PORT-00B029BF7478,CAND-EF9F86F64A1C2A,P3,PORT-00B029BF7478,459.478949,42624.951,92.768018,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P3,균형형 라이트헤지,False,32153.0,2034,8019.0,94.727805,43525.432,43525.432,51142.209,459.478949,94.727805,129.733518,66151.528,59609.82,67226.597,16084.388,6589.049,47.341,0.0,111.304793,16.576988,108.965035,14.23723,0.0,0.0,0.0,0.0,0.0,459.478949,51142.209,5.202867,9.528515,13236.133,1294.782,15720.011,35370.678,271.931,-16084.388,-6269.607,-14.108,100,True,71.663362
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,ACCELERATED_15C,DISCLOSED_PATH,PORT-00B029BF7478,CAND-EF9F86F64A1C2A,P3,PORT-00B029BF7478,459.478949,37612.255,81.858493,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P3,균형형 라이트헤지,False,32153.0,2034,8019.0,84.002813,38597.524,38597.524,46629.623,459.478949,84.002813,135.663814,70972.785,62334.667,70366.765,23737.143,8757.885,119.766,-0.0,101.483698,17.480885,102.802627,18.799814,0.0,0.0,0.0,0.0,0.0,459.478949,46629.623,4.743787,8.687757,14503.556,1294.782,18081.409,36749.164,290.94,-23737.143,-8644.553,59.368,100,True,49.642011
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,DISCLOSED_PATH,DISCLOSED_PATH,PORT-00B029BF7478,CAND-BCE0067D428D60,P2,PORT-00B029BF7478,459.478949,43972.256,95.700264,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P2,지연·부분헤지,False,32153.0,2034,8019.0,98.097738,45073.846,45073.846,54684.838,459.478949,98.097738,133.103451,66196.661,61158.234,70769.226,16084.388,5008.887,-29.541,-0.0,119.014893,20.917154,109.063263,10.965524,0.0,0.0,0.0,0.0,0.0,459.478949,54684.838,5.563271,10.188557,12938.617,1294.782,15767.772,35728.229,85.879,-16084.388,-4575.694,-81.353,100,True,75.033295
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,ACCELERATED_15C,DISCLOSED_PATH,PORT-00B029BF7478,CAND-BCE0067D428D60,P2,PORT-00B029BF7478,459.478949,39677.474,86.353193,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P2,지연·부분헤지,False,32153.0,2034,8019.0,89.064152,40923.103,40923.103,51236.112,459.478949,89.064152,140.725153,70968.184,64660.245,74973.255,23737.143,6448.246,140.307,0.0,111.509161,22.445009,102.792612,13.72846,0.0,0.0,0.0,0.0,0.0,459.478949,51236.112,5.21242,9.546011,14498.523,1294.782,18294.987,36749.612,91.425,-23737.143,-6347.645,78.562,100,True,54.70335
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,DISCLOSED_PATH,DISCLOSED_PATH,PORT-00B029BF7478,CAND-F940A5016FE44E,P1,PORT-00B029BF7478,459.478949,44901.773,97.723243,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P1,지연·현물조달,False,32153.0,2034,8019.0,100.565506,46207.733,46207.733,57367.23,459.478949,100.565506,135.571219,66320.241,62292.121,73451.618,16084.388,4008.127,-19.992,0.0,124.852793,24.287287,109.332218,8.766712,0.0,0.0,0.0,0.0,0.0,459.478949,57367.23,5.83616,10.688324,12740.274,1294.782,15815.532,35966.596,0.0,-16084.388,-3431.644,-93.42,100,True,77.501063
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,ACCELERATED_15C,DISCLOSED_PATH,PORT-00B029BF7478,CAND-F940A5016FE44E,P1,PORT-00B029BF7478,459.478949,41085.871,89.418396,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P1,지연·현물조달,False,32153.0,2034,8019.0,92.632057,42562.48,42562.48,54700.653,459.478949,92.632057,144.293058,71052.06,66299.623,78437.795,23737.143,4945.749,193.312,0.0,119.049312,26.417255,102.975158,10.343101,0.0,0.0,0.0,0.0,0.0,459.478949,54700.653,5.56488,10.191503,14495.168,1294.782,18508.565,36749.91,0.0,-23737.143,-4816.618,67.816,100,True,58.271255
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,DISCLOSED_PATH,DISCLOSED_PATH,PORT-05EE518306D9,CAND-1F99EBB5AE8665,P3,PORT-05EE518306D9,460.828943,45283.626,98.265585,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P3,균형형 라이트헤지,False,31741.6,2038,7425.0,100.410602,46272.112,46272.112,53311.499,460.828943,100.410602,135.418373,69166.817,62404.705,69444.092,16132.594,6827.244,65.132,-0.0,115.68609,15.275488,115.084403,14.6738,0.0,0.0,0.0,0.0,0.0,460.828943,53311.499,5.423556,9.932684,14609.013,1326.975,15875.402,37031.884,282.513,-16132.594,-6753.514,32.433,100,True,77.346159
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,ACCELERATED_15C,DISCLOSED_PATH,PORT-05EE518306D9,CAND-1F99EBB5AE8665,P3,PORT-05EE518306D9,460.828943,40251.786,87.346479,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P3,균형형 라이트헤지,False,31741.6,2038,7425.0,89.673423,41324.108,41324.108,48896.275,460.828943,89.673423,141.328889,74248.062,65128.443,72700.609,23804.334,9180.888,61.269,0.0,106.105044,16.431621,109.463019,19.789597,0.0,0.0,0.0,0.0,0.0,460.828943,48896.275,4.974381,9.110066,14609.013,1326.975,17508.082,40464.402,301.965,-23804.334,-9052.7,-29.295,100,True,55.312621
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,DISCLOSED_PATH,DISCLOSED_PATH,PORT-05EE518306D9,CAND-7BA4793B4CD2AC,P2,PORT-05EE518306D9,460.828943,46759.03,101.467217,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P2,지연·부분헤지,False,31741.6,2038,7425.0,104.216457,48025.96,48025.96,56830.965,460.828943,104.216457,139.224227,69167.146,64158.553,72963.559,16132.594,5134.001,125.409,-0.0,123.323341,19.106884,115.085116,10.868659,0.0,0.0,0.0,0.0,0.0,460.828943,56830.965,5.781603,10.588411,14644.778,1326.975,15975.346,37116.184,88.632,-16132.594,-5063.297,69.935,100,True,81.152014
NIPPON_STEEL_JP,Nippon Steel,JP,34.3,72.6,ACCELERATED_15C,DISCLOSED_PATH,PORT-05EE518306D9,CAND-7BA4793B4CD2AC,P2,PORT-05EE518306D9,460.828943,42520.661,92.269944,True,True,,0.0,3.446647212967946e-06,True,True,True,True,,0.0,0.0,0.0,2,2,0.5333221247999997,0.65,2.6399999999999997,P2,지연·부분헤지,False,31741.6,2038,7425.0,95.237148,43888.034,43888.034,53670.924,460.828943,95.237148,146.892615,74306.762,67692.369,77475.258,23804.334,6603.643,-10.75,-0.0,116.466045,21.228897,109.590399,14.35325,0.0,0.0,0.0,0.0,0.0,460.828943,53670.924,5.460122,9.999651,14644.778,1326.975,17618.719,40577.623,94.294,-23804.334,-6532.501,-37.52,100,True,60.876346
