company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2,delta_tcar_kkrw_per_tco2,delta_absolute_npv_p50_bn_krw,delta_absolute_npv_p90_bn_krw,delta_aligned_capex_bn_krw,delta_net_cash_cost_p50_bn_krw,delta_avoided_carbon_value_p50_bn_krw,delta_policy_support_value_p50_bn_krw
JFE_STEEL_JP,JFE Steel,CAND-65F7157232C73A,P1,PORT-04FFFE8075F6,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,348.620862,1.010272,-8.814853,352.202,-2720.84,0.0,-5434.514,-5786.717,-883.467
JFE_STEEL_JP,JFE Steel,CAND-6740F2BE1999AB,P2,PORT-6E49C004BA31,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,163.575867,5.189563,-3.163981,848.887,331.336,0.0,-1917.258,-2766.145,-824.665
JFE_STEEL_JP,JFE Steel,CAND-68030B11D579DF,P1,PORT-7BA11C62DF95,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,219.408411,4.183081,-4.569409,917.803,-84.764,0.0,-2669.688,-3587.491,-401.127
JFE_STEEL_JP,JFE Steel,CAND-74F6415EBB9977,P3,PORT-E123D45B71CC,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,226.220909,9.026387,-3.247007,2041.957,1307.417,0.0,-1662.903,-3704.86,-2187.284
JFE_STEEL_JP,JFE Steel,CAND-8143AC9B1B780D,P5,PORT-0032610F15CE,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,334.010871,19.461825,0.141979,6500.462,6547.884,0.0,1083.553,-5416.909,-7123.812
JFE_STEEL_JP,JFE Steel,CAND-81AEAF431DDC0A,P4,PORT-844170813924,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,381.425854,13.268964,-0.536208,5061.125,4856.602,0.0,-1171.842,-6232.969,-5110.815
JFE_STEEL_JP,JFE Steel,CAND-82646489D4D4D1,P2,PORT-25A7E18292F6,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,310.220867,11.77404,-1.199687,3652.553,3280.385,0.0,-1501.175,-5153.728,-560.647
JFE_STEEL_JP,JFE Steel,CAND-8A107782070451,P4,PORT-0032610F15CE,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,334.010871,13.158696,-1.003706,4395.147,4059.899,0.0,-1021.762,-5416.909,-5058.023
JFE_STEEL_JP,JFE Steel,CAND-8A2CE57122B1A0,P1,PORT-1741394F78A8,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,199.008409,14.140344,-1.650187,2814.047,2485.646,0.0,-446.611,-3260.658,-192.648
JFE_STEEL_JP,JFE Steel,CAND-8DC42B3C7EA2DB,P2,PORT-E123D45B71CC,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,226.220909,4.815615,-5.522132,1089.393,-159.829,0.0,-2615.467,-3704.86,-1228.544
JFE_STEEL_JP,JFE Steel,CAND-8F0E9CFE80824D,P6,PORT-576B945395C2,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,417.556839,25.855754,0.428367,10796.247,10975.114,0.0,3991.24,-6805.006,-11907.903
JFE_STEEL_JP,JFE Steel,CAND-942FF71D4F4188,P4,PORT-2883A9539B06,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,367.500849,12.230552,-0.466851,4494.738,4323.169,0.0,-1534.182,-6028.919,-3331.407
JFE_STEEL_JP,JFE Steel,CAND-94E38421D8FAE7,P1,PORT-36B22CA0D026,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,159.495924,13.649508,-1.228672,2177.041,1981.073,0.0,-402.879,-2579.92,-123.365
JFE_STEEL_JP,JFE Steel,CAND-953F1AFEF37202,P1,PORT-6E49C004BA31,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,163.575867,2.955818,-5.212701,483.501,-369.171,0.0,-2282.645,-2766.145,-371.31
JFE_STEEL_JP,JFE Steel,CAND-A735954AF09420,P3,PORT-CCD4397FA6D4,ACCELERATED_15C,DISCLOSED_PATH,False,True,True,281.895878,10.686648,-2.293237,3012.522,2366.069,0.0,-1649.254,-4661.776,-1455.614
JFE_STEEL_JP,JFE Steel,CAND-AE1C3F48385E3F,P5,PORT-2883A9539B06,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,367.500849,15.687237,0.141686,5765.073,5817.143,0.0,-263.846,-6028.919,-4561.567
JFE_STEEL_JP,JFE Steel,CAND-AFB45421E864E1,P3,PORT-48EB0158352D,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,209.90085,7.904832,-2.391117,1659.231,1157.334,0.0,-1905.021,-3564.253,-1931.898
JFE_STEEL_JP,JFE Steel,CAND-B210B35AD45FF1,P1,PORT-263958B6D89F,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,80.688399,15.120922,-0.392239,1220.083,1188.434,0.0,-144.944,-1365.028,-69.345
JFE_STEEL_JP,JFE Steel,CAND-B38C1D7FD5CCAE,P3,PORT-7C1FC602A00B,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,341.808365,8.859431,-3.183417,3028.227,1940.11,0.0,-2641.12,-5669.347,-3181.861
JFE_STEEL_JP,JFE Steel,CAND-B4CBF9F7B55581,P3,PORT-7F45069F34E3,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,203.088353,10.108849,-1.961738,2052.99,1654.583,0.0,-1393.894,-3446.883,-1447.306
JFE_STEEL_JP,JFE Steel,CAND-BC3B7FD8701906,P1,PORT-25A7E18292F6,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,310.220867,11.540763,-1.664643,3580.186,3063.779,0.0,-1573.543,-5153.728,-443.454
JFE_STEEL_JP,JFE Steel,CAND-BD5FC0B8045E4C,P1,PORT-BFE68456F5A9,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,87.500896,6.613473,-3.788282,578.685,247.207,0.0,-903.711,-1482.396,-183.835
