company_id,scenario_id,seed,current_p50_kkrw_per_tco2,current_tcar_kkrw_per_tco2,cost_gap_kkrw_per_tco2,risk_gap_kkrw_per_tco2
POSCO_KR,DISCLOSED_PATH,40,127.16406,25.713642,115.991392,17.355317
POSCO_KR,DISCLOSED_PATH,41,126.078742,29.340882,114.64483100000001,20.186877000000003
POSCO_KR,DISCLOSED_PATH,42,125.727367,32.839036,114.203816,23.069815
POSCO_KR,ACCELERATED_15C,40,118.553235,27.739366,8.946234000000004,24.584797000000002
POSCO_KR,ACCELERATED_15C,41,116.50527,32.623574,7.319452999999996,28.858137
POSCO_KR,ACCELERATED_15C,42,116.617519,33.84364,7.288848999999999,29.473614
NIPPON_STEEL_JP,DISCLOSED_PATH,40,81.071057,16.262743,58.006614,7.206016
NIPPON_STEEL_JP,DISCLOSED_PATH,41,80.793158,17.40217,58.501005000000006,7.2586140000000015
NIPPON_STEEL_JP,DISCLOSED_PATH,42,80.595656,19.496153,58.014371000000004,8.223824
NIPPON_STEEL_JP,ACCELERATED_15C,40,69.75075,17.693866,0.0,0.0
NIPPON_STEEL_JP,ACCELERATED_15C,41,69.69791,18.814722,0.0,0.0
NIPPON_STEEL_JP,ACCELERATED_15C,42,69.32393,20.642057,0.0,0.0
JFE_STEEL_JP,DISCLOSED_PATH,40,55.478045,11.412429,0.0,0.0
JFE_STEEL_JP,DISCLOSED_PATH,41,54.30183,13.470337,0.0,0.0
JFE_STEEL_JP,DISCLOSED_PATH,42,54.934926,13.481663,0.0,0.0
JFE_STEEL_JP,ACCELERATED_15C,40,43.330368,11.987952,0.0,0.0
JFE_STEEL_JP,ACCELERATED_15C,41,42.114726,14.265823,0.0,0.0
JFE_STEEL_JP,ACCELERATED_15C,42,42.577277,14.651887,0.0,0.0
KOBE_STEEL_JP,DISCLOSED_PATH,40,59.023221,13.933843,6.070455000000003,1.2833129999999997
KOBE_STEEL_JP,DISCLOSED_PATH,41,57.953857,16.019298,5.3140730000000005,3.207272999999999
KOBE_STEEL_JP,DISCLOSED_PATH,42,58.186375,17.203481,5.687501999999995,2.851414
KOBE_STEEL_JP,ACCELERATED_15C,40,47.611026,15.321769,0.0,0.0
KOBE_STEEL_JP,ACCELERATED_15C,41,46.893288,17.219594,0.0,0.0
KOBE_STEEL_JP,ACCELERATED_15C,42,46.986817,18.294052,0.0,0.0
