company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,scenario_count,feasible_scenario_count,robust_feasible,worst_case_p50_kkrw_per_tco2_mean,worst_case_p50_kkrw_per_tco2_std,worst_case_tcar_kkrw_per_tco2_mean,worst_case_tcar_kkrw_per_tco2_std,maximum_regret_p50_kkrw_per_tco2_mean,maximum_regret_p50_kkrw_per_tco2_std,mean_regret_p50_kkrw_per_tco2_mean,mean_regret_p50_kkrw_per_tco2_std,robust_frontier_frequency_pct,lambda_0_optimal_frequency_pct,lambda_1_optimal_frequency_pct,lambda_4_optimal_frequency_pct
NIPPON_STEEL_JP,Nippon Steel,CAND-97FAAFFD87E907,P1,PORT-160DD6C4A97F,2,1,False,46.221794,0.364104,17.74053,1.22458,23.520123,0.048788,11.760062,0.024394,0.0,0.0,0.0,0.0
NIPPON_STEEL_JP,Nippon Steel,CAND-C1AAA9A0078119,P1,PORT-9E76B3BFF9FF,2,2,True,92.986183,0.714951,29.160709,1.741091,70.284512,0.423892,60.150563,0.393174,0.0,0.0,0.0,0.0
NIPPON_STEEL_JP,Nippon Steel,CAND-EBD30C485CEFDA,P2,PORT-9E76B3BFF9FF,2,2,True,90.754772,0.623545,24.731344,1.478742,68.053102,0.37359,57.393985,0.324559,0.0,0.0,0.0,0.0
NIPPON_STEEL_JP,Nippon Steel,CAND-EF9F86F64A1C2A,P3,PORT-00B029BF7478,2,2,True,94.854668,0.483936,20.854689,1.122629,72.152998,0.161811,61.044239,0.128404,0.0,0.0,0.0,0.0
NIPPON_STEEL_JP,Nippon Steel,CAND-F6184286A4322F,P2,PORT-6742936593A9,2,2,True,84.601628,0.500404,23.966906,1.533092,61.899958,0.175208,51.140409,0.169487,0.0,0.0,0.0,0.0
NIPPON_STEEL_JP,Nippon Steel,CAND-FCEB78D7C5F4C6,P1,PORT-7DCD4991144C,2,1,False,22.729846,0.343536,11.079248,0.819376,0.028176,0.048802,-12.57428,0.063528,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-2F5D03A613EDBE,P1,PORT-0E469489028A,2,1,False,9.17309,0.170563,8.018044,0.418013,0.0,0.0,-12.387748,0.131526,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-44C957BBFA61A4,P1,PORT-96133A6427FE,2,2,True,71.430095,0.405296,22.521749,1.42997,62.257006,0.244249,51.762668,0.309431,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-466C04961ED513,P2,PORT-7ED23B40E316,2,1,False,32.783383,0.275754,12.218254,0.442373,23.610293,0.327679,11.805147,0.163839,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-4EF614D30D6D91,P2,PORT-96133A6427FE,2,2,True,69.806176,0.346749,19.287707,1.236752,60.633086,0.183357,49.792193,0.244768,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-6339E6B83A8408,P3,PORT-8826D0B469EE,2,2,True,63.344755,0.221324,15.263214,0.82809,54.171665,0.185855,42.7948,0.048156,100.0,100.0,100.0,100.0
POSCO_KR,POSCO,CAND-63781C106D5099,P1,PORT-41705C04BF44,2,1,False,10.369964,0.238706,7.912323,0.426008,1.196874,0.10552,-11.229443,0.085515,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-7BC738434560A6,P1,PORT-7ED23B40E316,2,1,False,33.416445,0.32603,14.248566,0.449284,24.243356,0.366573,12.558612,0.186477,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-82FF2AA13BA34C,P2,PORT-8826D0B469EE,2,2,True,65.35953,0.296371,19.288764,0.974728,56.18644,0.226035,45.284534,0.129414,0.0,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-921D50D4015721,P3,PORT-96133A6427FE,2,2,True,67.512379,0.268709,15.136815,0.920379,58.339289,0.102563,46.999089,0.179924,66.7,0.0,0.0,0.0
POSCO_KR,POSCO,CAND-C9724A8933A429,P1,PORT-8826D0B469EE,2,2,True,66.793851,0.363941,22.570132,1.098313,57.620762,0.292891,47.022066,0.184193,0.0,0.0,0.0,0.0
