facility_id,year,production,emissions_s1,emissions_s2,energy_coal,energy_gas,energy_elec,energy_naphtha,source_id
POSCO_POH_BF3,2022,4653723.3414580105,9830514.450063748,0.0,62825265.10968314,1861489.3365832043,372297.86731664086,,PREP_ALLOC
POSCO_POH_BF4,2022,4653723.3414580105,9830514.450063748,0.0,62825265.10968314,1861489.3365832043,372297.86731664086,,PREP_ALLOC
POSCO_GWY_BF1,2022,4986132.151562153,10532694.053639729,0.0,67312784.04608907,1994452.8606248614,398890.5721249723,,PREP_ALLOC
POSCO_GWY_BF3,2022,4570621.138931974,9654969.549169753,0.0,61703385.375581644,1828248.4555727895,365649.6911145579,,PREP_ALLOC
POSCO_GWY_BF4,2022,4570621.138931974,9654969.549169753,0.0,61703385.375581644,1828248.4555727895,365649.6911145579,,PREP_ALLOC
POSCO_GWY_BF5,2022,4570621.138931974,9654969.549169753,0.0,61703385.375581644,1828248.4555727895,365649.6911145579,,PREP_ALLOC
POSCO_POH_FINEX3,2022,1819756.2596942165,3665255.9514448214,0.0,23656831.376024816,727902.5038776867,181975.62596942167,,PREP_ALLOC
POSCO_GWY_EAF1,2022,2274695.324617771,1005710.4744818108,0.0,0.0,2274695.324617771,1251082.4285397741,,PREP_ALLOC
POSCO_POH_BF2,2023,2209706.4834921337,4625945.8091258,0.0,29831037.527143806,883882.5933968535,176776.5186793707,,PREP_ALLOC
POSCO_POH_BF3,2023,4852688.748061156,10158939.816119403,0.0,65511298.0988256,1941075.4992244625,388215.09984489245,,PREP_ALLOC
POSCO_POH_BF4,2023,4852688.748061156,10158939.816119403,0.0,65511298.0988256,1941075.4992244625,388215.09984489245,,PREP_ALLOC
POSCO_GWY_BF1,2023,5199309.372922667,10884578.374413645,0.0,70190676.53445601,2079723.749169067,415944.7498338134,,PREP_ALLOC
POSCO_GWY_BF3,2023,4766033.59184578,9977530.176545843,0.0,64341453.48991802,1906413.436738312,381282.6873476624,,PREP_ALLOC
POSCO_GWY_BF4,2023,4766033.59184578,9977530.176545843,0.0,64341453.48991802,1906413.436738312,381282.6873476624,,PREP_ALLOC
POSCO_GWY_BF5,2023,4766033.59184578,9977530.176545843,0.0,64341453.48991802,1906413.436738312,381282.6873476624,,PREP_ALLOC
POSCO_POH_FINEX3,2023,1897558.1653002435,3787707.633262259,0.0,24668256.148903165,759023.2661200975,189755.81653002437,,PREP_ALLOC
POSCO_GWY_EAF1,2023,2371947.7066253047,1039310.0213219615,0.0,0.0,2371947.7066253047,1304571.2386439177,,PREP_ALLOC
POSCO_POH_BF2,2024,2170444.280966098,4565479.868615926,0.0,29300997.79304232,868177.7123864392,173635.54247728785,,PREP_ALLOC
POSCO_POH_BF3,2024,4766465.871925549,10026151.868333016,0.0,64347289.27099491,1906586.3487702196,381317.2697540439,,PREP_ALLOC
POSCO_POH_BF4,2024,4766465.871925549,10026151.868333016,0.0,64347289.27099491,1906586.3487702196,381317.2697540439,,PREP_ALLOC
POSCO_GWY_BF1,2024,5106927.71992023,10742305.573213944,0.0,68943524.2189231,2042771.0879680922,408554.21759361844,,PREP_ALLOC
POSCO_GWY_BF3,2024,4681350.409926878,9847113.442112783,0.0,63198230.534012854,1872540.1639707515,374508.0327941503,,PREP_ALLOC
POSCO_GWY_BF4,2024,4681350.409926878,9847113.442112783,0.0,63198230.534012854,1872540.1639707515,374508.0327941503,,PREP_ALLOC
POSCO_GWY_BF5,2024,4681350.409926878,9847113.442112783,0.0,63198230.534012854,1872540.1639707515,374508.0327941503,,PREP_ALLOC
POSCO_POH_FINEX3,2024,1863842.2335475292,3738198.3407042236,0.0,24229949.03611788,745536.8934190117,186384.22335475293,,PREP_ALLOC
POSCO_GWY_EAF1,2024,2329802.7919344115,1025725.1544615249,0.0,0.0,2329802.7919344115,1281391.5355639264,,PREP_ALLOC
