company_id,company_name,scenario_id,plan_id,portfolio_id,is_scenario_feasible,is_frontier_eligible,is_frontier,expected_cost_p50_kkrw_per_tco2,tcar_kkrw_per_tco2
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,P4,PORT-2883A9539B06,True,True,False,113.237059,16.809397
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,P5,PORT-2883A9539B06,True,True,True,103.018223,9.511781
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,P6,PORT-576B945395C2,False,False,False,157.260577,5.450975
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,P7,PORT-B91429E42CEB,False,False,False,150.650931,1.72375
JFE_STEEL_JP,JFE Steel,ACCELERATED_15C,CURRENT,PORT-D228BC8B7EB8,False,False,False,42.999221,12.718359
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P1,PORT-3DA05887C62D,False,False,False,13.079827,9.504169
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P2,PORT-8384667F6B8E,True,True,False,54.701077,15.376267
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P3,PORT-8384667F6B8E,True,True,True,52.880723,12.287004
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P4,PORT-8A59F01B884D,False,False,False,138.840635,19.55422
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P5,PORT-0095E30DB97C,False,False,False,164.67933,12.56401
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P6,PORT-6AF097B8F6F8,False,False,False,154.866434,5.08354
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,P7,PORT-F194BB679477,False,False,False,151.047345,1.459864
KOBE_STEEL_JP,Kobe Steel,DISCLOSED_PATH,CURRENT,PORT-87CB7C6D5202,True,False,False,58.638245,15.372562
KOBE_STEEL_JP,Kobe Steel,ACCELERATED_15C,P1,PORT-3DA05887C62D,False,False,False,-0.812837,9.955167
KOBE_STEEL_JP,Kobe Steel,ACCELERATED_15C,P2,PORT-8384667F6B8E,False,False,False,43.051198,17.433537
KOBE_STEEL_JP,Kobe Steel,ACCELERATED_15C,P3,PORT-8384667F6B8E,False,False,False,40.726722,13.459349
KOBE_STEEL_JP,Kobe Steel,ACCELERATED_15C,P4,PORT-8A59F01B884D,True,True,False,125.197508,19.690094
KOBE_STEEL_JP,Kobe Steel,ACCELERATED_15C,P5,PORT-0095E30DB97C,True,True,False,146.753965,12.303845
KOBE_STEEL_JP,Kobe Steel,ACCELERATED_15C,P6,PORT-6AF097B8F6F8,True,True,False,131.630178,4.633006
KOBE_STEEL_JP,Kobe Steel,ACCELERATED_15C,P7,PORT-F194BB679477,True,True,True,124.948708,1.287947
KOBE_STEEL_JP,Kobe Steel,ACCELERATED_15C,CURRENT,PORT-87CB7C6D5202,False,False,False,47.369658,16.051873
