company_id,company_name,plan_id,plan_name,portfolio_id,portfolio_origin_scenario_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2,delta_tcar_kkrw_per_tco2,delta_absolute_npv_p50_bn_krw,delta_absolute_npv_p90_bn_krw,delta_aligned_capex_bn_krw,delta_net_cash_cost_p50_bn_krw,delta_avoided_carbon_value_p50_bn_krw,delta_policy_support_value_p50_bn_krw
JFE_STEEL_JP,JFE Steel,P4,균형형 전환,PORT-2883A9539B06,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,367.500849,-12.068661,0.822089,-4435.243,-4133.125,0.0,1593.676,6028.919,3226.755
JFE_STEEL_JP,JFE Steel,P5,조기 계약형 전환,PORT-2883A9539B06,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,367.500849,-15.563868,-0.185937,-5719.734,-5788.067,0.0,309.185,6028.919,4550.206
JFE_STEEL_JP,JFE Steel,P6,조기 고헤지,PORT-576B945395C2,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,417.556839,-25.873784,-0.435118,-10803.775,-10985.462,0.0,-3998.77,6805.006,11876.689
JFE_STEEL_JP,JFE Steel,P7,완전 수소·계약형,PORT-B91429E42CEB,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,445.512827,-29.775237,-0.207673,-13265.25,-13357.771,0.0,-6050.643,7214.607,14485.06
JFE_STEEL_JP,JFE Steel,CURRENT,JFE Steel 공시전략 프록시,PORT-D228BC8B7EB8,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,384.280845,-12.187104,0.795486,-4683.27,-4377.581,0.0,1500.275,6183.546,1132.395
KOBE_STEEL_JP,Kobe Steel,P1,지연·현물조달,PORT-3DA05887C62D,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,False,True,93.541093,-14.015325,0.665988,-1311.009,-1248.712,0.0,215.788,1526.797,84.359
KOBE_STEEL_JP,Kobe Steel,P2,지연·부분헤지,PORT-8384667F6B8E,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,96.451092,-11.118005,1.218069,-1072.344,-954.86,0.0,504.587,1576.93,188.926
KOBE_STEEL_JP,Kobe Steel,P3,균형형 라이트헤지,PORT-8384667F6B8E,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,96.451092,-11.849306,0.633971,-1142.879,-1081.732,0.0,434.052,1576.93,268.725
KOBE_STEEL_JP,Kobe Steel,P4,균형형 전환,PORT-8A59F01B884D,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,114.781594,-13.735005,0.512449,-1576.526,-1517.706,0.0,261.424,1837.95,1133.651
KOBE_STEEL_JP,Kobe Steel,P5,조기 계약형 전환,PORT-0095E30DB97C,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,118.419093,-17.866001,-0.483115,-2115.676,-2172.885,0.0,-215.057,1900.618,2101.83
KOBE_STEEL_JP,Kobe Steel,P6,조기 고헤지,PORT-6AF097B8F6F8,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,124.953456,-23.187168,-0.42271,-2897.317,-2950.136,0.0,-884.903,2012.414,2898.068
KOBE_STEEL_JP,Kobe Steel,P7,완전 수소·계약형,PORT-F194BB679477,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,False,True,True,131.48782,-26.071946,-0.161036,-3428.144,-3449.317,0.0,-1306.879,2121.265,3452.615
KOBE_STEEL_JP,Kobe Steel,CURRENT,Kobe Steel 공시전략 프록시,PORT-87CB7C6D5202,DISCLOSED_PATH,DISCLOSED_PATH,ACCELERATED_15C,True,False,True,108.831592,-11.060569,1.200296,-1203.74,-1073.109,0.0,547.319,1751.058,276.577
